metodo,N,s,cpu_128,cpu_64,gpu_128,gpu_64,gpu_64_tr,x,x_iso,frac_transf,rms_gpu_cpu
fft,256,1,0.008807,0.007741,0.00136,0.001201,0.001767,7.3,6.4,0.32,5.094493775700126e-08
fft,512,1,0.037765,0.036191,0.002041,0.00142,0.002082,26.6,25.5,0.318,5.84637304933408e-08
fft,1024,1,0.193956,0.18636,0.007909,0.003033,0.004662,64.0,61.4,0.35,4.342904783374327e-08
fft,2048,1,0.838555,0.744791,0.031903,0.009831,0.017664,85.3,75.8,0.443,4.431750579758439e-08
blas,256,1,0.009274,0.00912,0.001478,0.001641,0.002122,5.7,5.6,0.227,4.677306618921913e-08
blas,512,1,0.042303,0.03904,0.001902,0.001603,0.002514,26.4,24.4,0.363,4.124647793437586e-08
blas,1024,1,0.182325,0.171435,0.015659,0.005448,0.005643,33.5,31.5,0.035,3.6424731394243485e-08
blas,2048,1,0.819135,0.754789,0.034421,0.012239,0.020162,66.9,61.7,0.393,3.6518660044247686e-08
mpasm,256,1,0.020951,0.016612,0.00598,0.002175,0.002518,9.6,7.6,0.136,7.690026485764697e-08
mpasm,512,1,0.093453,0.07514,0.040967,0.003062,0.003408,30.5,24.5,0.102,1.4590181439684332e-07
mpasm,1024,1,0.501448,0.338598,0.314145,0.014254,0.01575,35.2,23.8,0.095,3.0322576211201304e-07
mpasm,2048,1,3.045727,1.985015,2.466762,0.089631,0.097549,34.0,22.1,0.081,2.5513512940874523e-07
